"username","anime_id","my_watched_episodes","my_start_date","my_finish_date","my_score","my_status","my_rewatching","my_rewatching_ep","my_last_updated","my_tags"
"K_P",32094,12,"0000-00-00","0000-00-00",9,2,0,0,1513284259,""
"Eab1990",587,6,"0000-00-00","0000-00-00",9,2,NA,0,1234619694,""
"Eab1990",3468,0,"0000-00-00","0000-00-00",0,6,0,0,1252384424,""
"Kyousuke",28735,13,"2016-07-10","2016-07-29",8,2,0,0,1469764167,""
"Eab1990",2390,100,"0000-00-00","0000-00-00",8,2,0,0,1272848644,""
"Redylo",9734,1,"0000-00-00","0000-00-00",0,2,0,0,1402997204,""
"Eab1990",6299,0,"0000-00-00","0000-00-00",0,6,0,0,1252384496,""
"Redylo",20899,8,"0000-00-00","0000-00-00",0,4,0,0,1459653854,""
"magedgamed",1813,3,"0000-00-00","2016-12-20",8,2,0,0,1482187236,""
"magedgamed",1699,24,"0000-00-00","2017-01-14",8,2,0,0,1484416910,"HEADER, lone"
"Eab1990",6318,0,"0000-00-00","0000-00-00",0,3,0,0,1251392619,""
"Redylo",3342,2,"0000-00-00","0000-00-00",0,4,0,0,1403042093,""
"Redylo",975,2,"0000-00-00","0000-00-00",5,2,0,0,1446272811,""
"Eab1990",1561,0,"0000-00-00","0000-00-00",0,3,NA,0,1234619934,""
"Redylo",4382,14,"0000-00-00","0000-00-00",6,2,0,0,1419287515,""
"Eab1990",371,1,"0000-00-00","0000-00-00",7,2,0,0,1234621894,""
"Eab1990",10209,1,"0000-00-00","0000-00-00",8,1,NA,0,1317913863,""
"Kyousuke",22135,11,"2015-12-22","2015-12-28",9,2,0,0,0,""
"Redylo",21431,5,"0000-00-00","0000-00-00",0,4,0,0,1403041969,""
"Redylo",32717,3,"0000-00-00","0000-00-00",0,1,0,0,1461989808,""
"magedgamed",268,6,"0000-00-00","2016-08-08",0,2,0,0,1470689801,"HEADER, lone, short"
"ShinyShinigami",721,0,"0000-00-00","0000-00-00",0,6,0,0,1450928009,""
"ShinyShinigami",341,0,"0000-00-00","0000-00-00",0,6,0,0,1466542271,""
"diordiah",341,25,"0000-00-00","0000-00-00",7,2,0,0,1160534240,""
"ShinyShinigami",990,0,"0000-00-00","0000-00-00",0,6,0,0,1467332906,""
"magedgamed",33049,0,"0000-00-00","0000-00-00",0,6,0,0,1478808685,""
"magedgamed",35466,0,"0000-00-00","0000-00-00",0,6,0,0,1500846064,""
"magedgamed",21419,1,"0000-00-00","0000-00-00",9,2,0,0,1426980893,""
"magedgamed",22145,10,"0000-00-00","0000-00-00",8,2,0,0,1426976664,""
"magedgamed",3420,12,"0000-00-00","2017-08-17",8,2,0,0,1503003716,"HEADER"
"magedgamed",32681,13,"0000-00-00","0000-00-00",7,2,0,0,1495918880,"HEADER, lone, mid-length"
"ShinyShinigami",253,0,"0000-00-00","0000-00-00",0,6,0,0,1465860652,""
"magedgamed",2927,24,"0000-00-00","2015-07-21",6,2,0,0,1437513136,"HEADER, "
"magedgamed",5914,0,"0000-00-00","0000-00-00",6,3,0,0,1514239167,""
"magedgamed",10620,26,"0000-00-00","0000-00-00",9,2,0,0,1426976192,"HEADER, "
"diordiah",34525,12,"2017-07-13","2017-09-24",4,2,0,0,1506316371,""
"diordiah",1594,6,"2007-02-16","0000-00-00",4,4,0,0,1176321431,""
"ShinyShinigami",1184,0,"0000-00-00","0000-00-00",0,6,0,0,1466541449,""
"magedgamed",31478,12,"0000-00-00","2016-06-28",7,2,0,0,1467115225,"HEADER, "
"magedgamed",5978,1,"0000-00-00","2015-05-19",8,2,0,0,1432027415,""
"diordiah",74,23,"0000-00-00","0000-00-00",7,4,0,0,1178132074,"comedy"
"ShinyShinigami",37171,0,"0000-00-00","0000-00-00",0,6,0,0,1523066080,""
"ShinyShinigami",5597,0,"0000-00-00","0000-00-00",0,6,0,0,1465861804,""
"ShinyShinigami",18411,0,"0000-00-00","0000-00-00",0,6,0,0,1462152183,""
"ShinyShinigami",9656,0,"0000-00-00","0000-00-00",0,6,0,0,1424106449,""
"ShinyShinigami",3000,0,"0000-00-00","0000-00-00",0,6,0,0,1492651494,""
"ShinyShinigami",18277,24,"2015-10-10","0000-00-00",7,2,0,0,1445356186,"Catchy OP, Questioning Sanity, Randomness, Fight scenes, Funny scenes, Another world, WTF moments, NEEDS SEQUEL"
"ShinyShinigami",3228,0,"0000-00-00","0000-00-00",0,6,0,0,1436552235,""
"ShinyShinigami",9675,0,"0000-00-00","0000-00-00",0,6,0,0,1421529353,""
"ShinyShinigami",2964,0,"0000-00-00","0000-00-00",0,6,0,0,1467332724,""
"ShinyShinigami",34126,11,"0000-00-00","2017-03-25",6,2,0,0,1490482693,""
"ShinyShinigami",12317,0,"0000-00-00","0000-00-00",0,6,0,0,1465860640,""
"ShinyShinigami",4262,0,"0000-00-00","0000-00-00",0,6,0,0,1454547019,""
"ShinyShinigami",3420,0,"0000-00-00","0000-00-00",0,6,0,0,1460252182,""
"Chocostars",2025,0,"0000-00-00","0000-00-00",0,6,0,0,1482023336,""
"ShinyShinigami",36828,5,"0000-00-00","0000-00-00",7,1,0,0,1525630105,""
"Chocostars",72,12,"0000-00-00","0000-00-00",8,2,0,0,1378000914,""
"Marie7",10408,0,"0000-00-00","0000-00-00",0,6,0,0,1489768428,""
"ShinyShinigami",4472,0,"0000-00-00","0000-00-00",0,6,0,0,1438613084,""
"ShinyShinigami",4188,0,"0000-00-00","0000-00-00",0,6,0,0,1434972182,""
"Tyricky",30831,0,"0000-00-00","0000-00-00",0,6,0,0,1515922117,""
"Tahretsim",32281,1,"0000-00-00","0000-00-00",9,2,0,0,1523137713,""
"Gigikasp",8246,1,"0000-00-00","0000-00-00",5,2,0,0,1462469887,""
"Tahretsim",31227,0,"0000-00-00","0000-00-00",0,4,0,0,1443825461,""
"Tahretsim",20785,1,"0000-00-00","0000-00-00",0,4,0,0,1402632613,""
"Tahretsim",2265,1,"0000-00-00","0000-00-00",8,2,0,0,1408592885,""
"SenpajBiju",19815,12,"0000-00-00","0000-00-00",9,2,0,0,1473549497,""
"Gigikasp",34152,0,"0000-00-00","0000-00-00",0,6,0,0,1485059430,""
"Gigikasp",7785,0,"0000-00-00","0000-00-00",0,6,0,0,1463179420,""
"SenpajBiju",1535,37,"0000-00-00","2017-09-25",7,2,0,0,1506359739,""
"SenpajBiju",25777,12,"0000-00-00","2017-06-21",8,2,0,0,1498075764,""
"demitel",1195,13,"0000-00-00","0000-00-00",7,2,NA,0,1240666430,""
"SenpajBiju",9919,25,"0000-00-00","0000-00-00",8,2,0,0,1473550207,""
"Tahretsim",16498,25,"2013-02-24","0000-00-00",10,2,0,0,1382253333,""
"Gigikasp",18153,12,"0000-00-00","0000-00-00",6,2,0,0,1482772610,""
